student_no,course_id,exam_type,total_score
2021001,1,final,59
2021002,1,final,63
2021003,1,final,67
2021004,1,final,71
2021005,1,final,75
2021006,1,final,79
2021007,1,final,83
2021008,1,final,87
2021009,1,final,91
2021010,1,final,95
2021011,1,final,56
2021012,1,final,60
2021013,1,final,64
2021014,1,final,68
2021015,1,final,72
2021016,1,final,58
2021017,1,final,80
2021018,1,final,84
2021019,1,final,88
2021020,1,final,92
2021021,1,final,96
2021022,1,final,57
2021023,1,final,61
2021024,1,final,65
2021025,1,final,69
2021026,1,final,73
2021027,1,final,77
2021028,1,final,81
2021029,1,final,85
2021030,1,final,89
2021031,1,final,93
2021032,1,final,97
2021033,1,final,58
2021034,1,final,62
2021035,1,final,66
2021036,1,final,70
2021037,1,final,74
2021038,1,final,78
2021039,1,final,82
2021040,1,final,86
2021041,1,final,90
2021042,1,final,94
2021043,1,final,55
2021044,1,final,59
2021045,1,final,63
2021046,1,final,67
2021047,1,final,71
2021048,1,final,75
2021049,1,final,79
2021050,1,final,58
2021051,1,final,87
2021052,1,final,91
2021053,1,final,95
2021054,1,final,56
2021055,1,final,60
2021056,1,final,64
2021057,1,final,68
2021058,1,final,72
2021059,1,final,76
2021060,1,final,80
2021001,2,final,60
2021002,2,final,65
2021003,2,final,70
2021004,2,final,75
2021005,2,final,80
2021006,2,final,85
2021007,2,final,90
2021008,2,final,95
2021009,2,final,57
2021010,2,final,62
2021011,2,final,67
2021012,2,final,72
2021013,2,final,77
2021014,2,final,82
2021015,2,final,58
2021016,2,final,92
2021017,2,final,97
2021018,2,final,59
2021019,2,final,64
2021020,2,final,69
2021021,2,final,74
2021022,2,final,79
2021023,2,final,84
2021024,2,final,89
2021025,2,final,94
2021026,2,final,56
2021027,2,final,61
2021028,2,final,66
2021029,2,final,71
2021030,2,final,76
2021031,2,final,81
2021032,2,final,58
2021033,2,final,91
2021034,2,final,96
2021035,2,final,58
2021036,2,final,63
2021037,2,final,68
2021038,2,final,73
2021039,2,final,78
2021040,2,final,83
2021041,2,final,88
2021042,2,final,93
2021043,2,final,55
2021044,2,final,60
2021045,2,final,65
2021046,2,final,70
2021047,2,final,75
2021048,2,final,80
2021049,2,final,58
2021050,2,final,90
2021051,2,final,95
2021052,2,final,57
2021053,2,final,62
2021054,2,final,67
2021055,2,final,72
2021056,2,final,77
2021057,2,final,82
2021058,2,final,87
2021059,2,final,92
2021060,2,final,97
2021001,3,final,61
2021002,3,final,67
2021003,3,final,73
2021004,3,final,79
2021005,3,final,85
2021006,3,final,91
2021007,3,final,97
2021008,3,final,60
2021009,3,final,66
2021010,3,final,72
2021011,3,final,78
2021012,3,final,84
2021013,3,final,90
2021014,3,final,58
2021015,3,final,59
2021016,3,final,65
2021017,3,final,71
2021018,3,final,77
2021019,3,final,83
2021020,3,final,89
2021021,3,final,95
2021022,3,final,58
2021023,3,final,64
2021024,3,final,70
2021025,3,final,76
2021026,3,final,82
2021027,3,final,88
2021028,3,final,94
2021029,3,final,57
2021030,3,final,63
2021031,3,final,58
2021032,3,final,75
2021033,3,final,81
2021034,3,final,87
2021035,3,final,93
2021036,3,final,56
2021037,3,final,62
2021038,3,final,68
2021039,3,final,74
2021040,3,final,80
2021041,3,final,86
2021042,3,final,92
2021043,3,final,55
2021044,3,final,61
2021045,3,final,67
2021046,3,final,73
2021047,3,final,79
2021048,3,final,58
2021049,3,final,91
2021050,3,final,97
2021051,3,final,60
2021052,3,final,66
2021053,3,final,72
2021054,3,final,78
2021055,3,final,84
2021056,3,final,90
2021057,3,final,96
2021058,3,final,59
2021059,3,final,65
2021060,3,final,71
2021001,4,final,62
2021002,4,final,69
2021003,4,final,76
2021004,4,final,83
2021005,4,final,90
2021006,4,final,97
2021007,4,final,61
2021008,4,final,68
2021009,4,final,75
2021010,4,final,82
2021011,4,final,89
2021012,4,final,96
2021013,4,final,58
2021014,4,final,67
2021015,4,final,74
2021016,4,final,81
2021017,4,final,88
2021018,4,final,95
2021019,4,final,59
2021020,4,final,66
2021021,4,final,73
2021022,4,final,80
2021023,4,final,87
2021024,4,final,94
2021025,4,final,58
2021026,4,final,65
2021027,4,final,72
2021028,4,final,79
2021029,4,final,86
2021030,4,final,58
2021031,4,final,57
2021032,4,final,64
2021033,4,final,71
2021034,4,final,78
2021035,4,final,85
2021036,4,final,92
2021037,4,final,56
2021038,4,final,63
2021039,4,final,70
2021040,4,final,77
2021041,4,final,84
2021042,4,final,91
2021043,4,final,55
2021044,4,final,62
2021045,4,final,69
2021046,4,final,76
2021047,4,final,58
2021048,4,final,90
2021049,4,final,97
2021050,4,final,61
2021051,4,final,68
2021052,4,final,75
2021053,4,final,82
2021054,4,final,89
2021055,4,final,96
2021056,4,final,60
2021057,4,final,67
2021058,4,final,74
2021059,4,final,81
2021060,4,final,88
2021001,5,final,63
2021002,5,final,71
2021003,5,final,79
2021004,5,final,87
2021005,5,final,95
2021006,5,final,60
2021007,5,final,68
2021008,5,final,76
2021009,5,final,84
2021010,5,final,92
2021011,5,final,57
2021012,5,final,58
2021013,5,final,73
2021014,5,final,81
2021015,5,final,89
2021016,5,final,97
2021017,5,final,62
2021018,5,final,70
2021019,5,final,78
2021020,5,final,86
2021021,5,final,94
2021022,5,final,59
2021023,5,final,67
2021024,5,final,75
2021025,5,final,83
2021026,5,final,91
2021027,5,final,56
2021028,5,final,64
2021029,5,final,58
2021030,5,final,80
2021031,5,final,88
2021032,5,final,96
2021033,5,final,61
2021034,5,final,69
2021035,5,final,77
2021036,5,final,85
2021037,5,final,93
2021038,5,final,58
2021039,5,final,66
2021040,5,final,74
2021041,5,final,82
2021042,5,final,90
2021043,5,final,55
2021044,5,final,63
2021045,5,final,71
2021046,5,final,58
2021047,5,final,87
2021048,5,final,95
2021049,5,final,60
2021050,5,final,68
2021051,5,final,76
2021052,5,final,84
2021053,5,final,92
2021054,5,final,57
2021055,5,final,65
2021056,5,final,73
2021057,5,final,81
2021058,5,final,89
2021059,5,final,97
2021060,5,final,62
2021001,6,final,64
2021002,6,final,73
2021003,6,final,82
2021004,6,final,91
2021005,6,final,57
2021006,6,final,66
2021007,6,final,75
2021008,6,final,84
2021009,6,final,93
2021010,6,final,59
2021011,6,final,58
2021012,6,final,77
2021013,6,final,86
2021014,6,final,95
2021015,6,final,61
2021016,6,final,70
2021017,6,final,79
2021018,6,final,88
2021019,6,final,97
2021020,6,final,63
2021021,6,final,72
2021022,6,final,81
2021023,6,final,90
2021024,6,final,56
2021025,6,final,65
2021026,6,final,74
2021027,6,final,83
2021028,6,final,58
2021029,6,final,58
2021030,6,final,67
2021031,6,final,76
2021032,6,final,85
2021033,6,final,94
2021034,6,final,60
2021035,6,final,69
2021036,6,final,78
2021037,6,final,87
2021038,6,final,96
2021039,6,final,62
2021040,6,final,71
2021041,6,final,80
2021042,6,final,89
2021043,6,final,55
2021044,6,final,64
2021045,6,final,58
2021046,6,final,82
2021047,6,final,91
2021048,6,final,57
2021049,6,final,66
2021050,6,final,75
2021051,6,final,84
2021052,6,final,93
2021053,6,final,59
2021054,6,final,68
2021055,6,final,77
2021056,6,final,86
2021057,6,final,95
2021058,6,final,61
2021059,6,final,70
2021060,6,final,79
