student_no,exam_id,qno,score
9000001,1,1,6.6
9000001,1,2,7.3
9000001,1,3,12.0
9000001,1,4,13.05
9000001,1,5,23.5
9000001,1,6,13.0
9000002,1,1,7.3
9000002,1,2,8.0
9000002,1,3,13.05
9000002,1,4,14.1
9000002,1,5,13.0
9000002,1,6,14.75
9000003,1,1,8.0
9000003,1,2,8.7
9000003,1,3,14.1
9000003,1,4,7.8
9000003,1,5,14.75
9000003,1,6,16.5
9000004,1,1,8.7
9000004,1,2,9.4
9000004,1,3,7.8
9000004,1,4,8.85
9000004,1,5,16.5
9000004,1,6,18.25
9000005,1,1,9.4
9000005,1,2,5.2
9000005,1,3,8.85
9000005,1,4,9.9
9000005,1,5,18.25
9000005,1,6,20.0
9000006,1,1,5.2
9000006,1,2,5.9
9000006,1,3,9.9
9000006,1,4,10.95
9000006,1,5,20.0
9000006,1,6,21.75
9000007,1,1,5.9
9000007,1,2,6.6
9000007,1,3,10.95
9000007,1,4,12.0
9000007,1,5,21.75
9000007,1,6,23.5
9000008,1,1,6.6
9000008,1,2,7.3
9000008,1,3,12.0
9000008,1,4,13.05
9000008,1,5,23.5
9000008,1,6,13.0
9000009,1,1,7.3
9000009,1,2,8.0
9000009,1,3,13.05
9000009,1,4,14.1
9000009,1,5,13.0
9000009,1,6,14.75
9000010,1,1,8.0
9000010,1,2,8.7
9000010,1,3,14.1
9000010,1,4,7.8
9000010,1,5,14.75
9000010,1,6,16.5
9000011,1,1,8.7
9000011,1,2,9.4
9000011,1,3,7.8
9000011,1,4,8.85
9000011,1,5,16.5
9000011,1,6,18.25
9000012,1,1,9.4
9000012,1,2,5.2
9000012,1,3,8.85
9000012,1,4,9.9
9000012,1,5,18.25
9000012,1,6,20.0
9000013,1,1,5.2
9000013,1,2,5.9
9000013,1,3,9.9
9000013,1,4,10.95
9000013,1,5,20.0
9000013,1,6,21.75
9000014,1,1,5.9
9000014,1,2,6.6
9000014,1,3,10.95
9000014,1,4,12.0
9000014,1,5,21.75
9000014,1,6,23.5
9000015,1,1,6.6
9000015,1,2,7.3
9000015,1,3,12.0
9000015,1,4,13.05
9000015,1,5,23.5
9000015,1,6,13.0
